idx,n_records,confidence,variability,correctness,region
0,3,0.8726131717363993,0.16359330571342293,1.0,Easy-to-learn
1,3,0.4167231271664302,0.2309381075062013,0.6666666666666666,Ambiguous
2,3,0.09797396864920908,0.13416841665953874,0.3333333333333333,Hard-to-learn
3,3,0.25369953860839206,0.17967490954751028,0.6666666666666666,Ambiguous
4,3,0.4568533847729365,0.2761863202017847,0.6666666666666666,Ambiguous
5,3,0.8128319581349691,0.11360509030833514,1.0,Easy-to-learn
6,3,0.0512695387005806,0.02127777976834662,0.0,Hard-to-learn
7,3,0.6420896723866463,0.4109549913601376,0.6666666666666666,Ambiguous
8,3,0.21249473467469215,0.1459455557660372,0.3333333333333333,Hard-to-learn
9,3,0.8377535939216614,0.18879731003689704,1.0,Easy-to-learn
10,3,0.8417577942212423,0.18889653736001258,1.0,Easy-to-learn
11,3,0.939732015132904,0.06843661838140873,1.0,Easy-to-learn
12,3,0.8300869663556417,0.11834376334562902,1.0,Easy-to-learn
13,3,0.8382092714309692,0.079965640267998,1.0,Easy-to-learn
14,3,0.3246409098307292,0.21554720983234224,0.3333333333333333,Hard-to-learn
15,3,0.6959037284056345,0.15480025894149488,1.0,Easy-to-learn
16,3,0.9946580330530802,0.0038820770183029874,1.0,Easy-to-learn
17,3,0.14276167505886406,0.10113861716201163,0.0,Hard-to-learn
18,3,0.9570578336715698,0.00975976040713636,1.0,Easy-to-learn
19,3,0.24708035246779522,0.18394656517368674,0.3333333333333333,Hard-to-learn
20,3,0.7098639855782191,0.34655926543847565,0.6666666666666666,Ambiguous
21,3,0.9558063546816508,0.018934239481009082,1.0,Easy-to-learn
22,3,0.4426569143931071,0.13256574333213755,0.6666666666666666,Ambiguous
23,3,0.8337423404057821,0.21136019774039616,1.0,Easy-to-learn
24,3,0.46651724974314374,0.3757349564014012,0.3333333333333333,Hard-to-learn
25,3,0.5965803464253744,0.2786925685214322,0.6666666666666666,Ambiguous
26,3,0.2118661825855573,0.1810857053190399,0.6666666666666666,Ambiguous
27,3,0.11728042364120483,0.06340374589461104,0.0,Hard-to-learn
28,3,0.42337389608534676,0.3395015306813958,0.6666666666666666,Ambiguous
29,3,0.38404499491055805,0.043475318389621,0.0,Hard-to-learn
30,3,0.08626592095242813,0.06349552748073412,0.0,Hard-to-learn
31,3,0.9844612081845602,0.020158471473603275,1.0,Easy-to-learn
32,3,0.4971463307738304,0.2777225637945345,0.6666666666666666,Ambiguous
33,3,0.918985108534495,0.10359908395977122,1.0,Easy-to-learn
34,3,0.8302304347356161,0.14766178663627907,1.0,Easy-to-learn
35,3,0.9339146415392557,0.038141800649535415,1.0,Easy-to-learn
36,3,0.9860315322875977,0.015231109693801332,1.0,Easy-to-learn
37,3,0.9537551005681356,0.02677087886075603,1.0,Easy-to-learn
38,3,0.36679616073767346,0.13242196017261018,1.0,Easy-to-learn
39,3,0.8666452964146932,0.09275853131843563,1.0,Easy-to-learn
40,3,0.6114762127399445,0.24914901874626288,1.0,Easy-to-learn
41,3,0.03818664265175661,0.02176025944853705,0.0,Hard-to-learn
42,3,0.8246410687764486,0.12966057643283405,1.0,Easy-to-learn
43,3,0.19334657862782478,0.10197224191027723,0.3333333333333333,Hard-to-learn
44,3,0.3133220660189788,0.3123192152390124,0.3333333333333333,Hard-to-learn
45,3,0.8635305166244507,0.03634294699593645,1.0,Easy-to-learn
46,3,0.3243306875228882,0.22803411408675262,0.3333333333333333,Hard-to-learn
47,3,0.6765674663086733,0.44755068667614983,0.6666666666666666,Ambiguous
48,3,0.6296206116676331,0.24412017141883477,0.6666666666666666,Ambiguous
49,3,0.2838155487552285,0.32696167303100027,0.3333333333333333,Hard-to-learn
50,3,0.5922295848528544,0.1679290216609238,1.0,Easy-to-learn
51,3,0.07525637140497565,0.07782909489462608,0.0,Hard-to-learn
52,3,0.9763442675272623,0.029647046629384725,1.0,Easy-to-learn
53,3,0.48231029013792676,0.382346041794673,0.6666666666666666,Ambiguous
54,3,0.9839957356452942,0.014389349515239593,1.0,Easy-to-learn
55,3,0.6719274520874023,0.05260359014449114,1.0,Easy-to-learn
56,3,0.03664492738122741,0.03727330017574036,0.0,Hard-to-learn
57,3,0.9741224249204,0.01617481176243045,1.0,Easy-to-learn
58,3,0.41691266496976215,0.15156668918727695,0.3333333333333333,Hard-to-learn
59,3,0.5528547366460165,0.22922347671468477,1.0,Easy-to-learn
60,3,0.13132217774788538,0.06622344190060638,0.0,Hard-to-learn
61,3,0.6546496115624905,0.4357147546220696,0.6666666666666666,Ambiguous
62,3,0.8224643270174662,0.20416299476157954,1.0,Easy-to-learn
63,3,0.9594939947128296,0.03449824410570882,1.0,Easy-to-learn
64,3,0.7693796157836914,0.1283938931970462,1.0,Easy-to-learn
65,3,0.6269196172555288,0.3056030582790609,1.0,Easy-to-learn
66,3,0.6786590814590454,0.1239924570027757,1.0,Easy-to-learn
67,3,0.25675608217716217,0.12336057842066453,0.3333333333333333,Hard-to-learn
68,3,0.9888589978218079,0.0045113214658605615,1.0,Easy-to-learn
69,3,0.35925500064452837,0.43508394110490495,0.3333333333333333,Hard-to-learn
70,3,0.6056375602881113,0.23781445986860356,1.0,Easy-to-learn
71,3,0.9316813548405966,0.07965551727850206,1.0,Easy-to-learn
72,3,0.732709139585495,0.20472395396529425,1.0,Easy-to-learn
73,3,0.5132185256419083,0.39932564975105467,0.6666666666666666,Ambiguous
74,3,0.7841779589653015,0.1255290999241854,1.0,Easy-to-learn
75,3,0.28921571373939514,0.1289974495872348,0.3333333333333333,Hard-to-learn
76,3,0.03381684718381924,0.02747703002078805,0.0,Hard-to-learn
77,3,0.7491498788197836,0.30092602445035,0.6666666666666666,Ambiguous
78,3,0.408644437789917,0.3423469055347859,0.3333333333333333,Hard-to-learn
79,3,0.6284690499305725,0.3552949858194214,0.6666666666666666,Ambiguous
80,3,0.6080271899700165,0.2923737471278572,0.6666666666666666,Ambiguous
81,3,0.4275514483451843,0.34084133343874695,0.6666666666666666,Ambiguous
82,3,0.6355609477832331,0.44940059828564255,0.6666666666666666,Ambiguous
83,3,0.9326908985773722,0.06255386111717204,1.0,Easy-to-learn
84,3,0.27186474700768787,0.12028170713281865,0.0,Hard-to-learn
85,3,0.4815375904242198,0.10903136403963419,1.0,Easy-to-learn
86,3,0.8839245239893595,0.07424185593018559,1.0,Easy-to-learn
87,3,0.4243755042552948,0.1782902614161246,0.6666666666666666,Ambiguous
