model,subset_fraction,subset_draw_id,seed,train_budget_type,confidence_definition,evalset,exact_match,f1
bert-base-uncased,0.333,0.0,13,same_epochs,joint,addonesent,60.88416340235031,68.81762884963534
bert-base-uncased,0.333,0.0,13,same_epochs,joint,addsent,51.99438202247191,59.82834503053681
bert-base-uncased,0.333,0.0,13,same_epochs,joint,squad_dev,76.27246925260171,85.16212249991693
bert-base-uncased,0.333,0.0,21,same_epochs,joint,addonesent,60.660324566312255,68.5598198935443
bert-base-uncased,0.333,0.0,21,same_epochs,joint,addsent,52.19101123595506,59.76110740882766
bert-base-uncased,0.333,0.0,21,same_epochs,joint,squad_dev,75.96972563859981,84.91905418939052
bert-base-uncased,0.333,0.0,42,same_epochs,joint,addonesent,60.268606603245665,69.23260562035414
bert-base-uncased,0.333,0.0,42,same_epochs,joint,addsent,52.02247191011236,60.284055517075515
bert-base-uncased,0.333,0.0,42,same_epochs,joint,squad_dev,75.77105014191108,84.69414621817785
bert-base-uncased,0.333,1.0,13,same_epochs,joint,addonesent,62.39507554560716,70.16104148128798
bert-base-uncased,0.333,1.0,13,same_epochs,joint,addsent,54.04494382022472,61.85008513012548
bert-base-uncased,0.333,1.0,13,same_epochs,joint,squad_dev,76.50898770104068,85.12146724596629
bert-base-uncased,0.333,1.0,21,same_epochs,joint,addonesent,62.39507554560716,69.9862904262341
bert-base-uncased,0.333,1.0,21,same_epochs,joint,addsent,54.52247191011236,61.941099182264146
bert-base-uncased,0.333,1.0,21,same_epochs,joint,squad_dev,76.71712393566698,85.33312272835134
bert-base-uncased,0.333,1.0,42,same_epochs,joint,addonesent,60.21264689423615,68.27246460105924
bert-base-uncased,0.333,1.0,42,same_epochs,joint,addsent,51.79775280898876,59.52027607805294
bert-base-uncased,0.333,1.0,42,same_epochs,joint,squad_dev,76.6887417218543,85.39682298107535
bert-base-uncased,0.333,2.0,13,same_epochs,joint,addonesent,63.01063234471181,70.27767507813168
bert-base-uncased,0.333,2.0,13,same_epochs,joint,addsent,55.337078651685395,62.35531003735383
bert-base-uncased,0.333,2.0,13,same_epochs,joint,squad_dev,76.0170293282876,84.78815311957678
bert-base-uncased,0.333,2.0,21,same_epochs,joint,addonesent,62.39507554560716,70.01746489766542
bert-base-uncased,0.333,2.0,21,same_epochs,joint,addsent,54.438202247191015,61.87254224260929
bert-base-uncased,0.333,2.0,21,same_epochs,joint,squad_dev,76.41438032166509,85.12596988442071
bert-base-uncased,0.333,2.0,42,same_epochs,joint,addonesent,62.05931729155009,69.62192171470572
bert-base-uncased,0.333,2.0,42,same_epochs,joint,addsent,53.45505617977528,60.701249630353
bert-base-uncased,0.333,2.0,42,same_epochs,joint,squad_dev,76.33869441816462,85.17634095231712
bert-base-uncased,0.333,3.0,13,same_epochs,joint,addonesent,62.45103525461668,69.53920785714517
bert-base-uncased,0.333,3.0,13,same_epochs,joint,addsent,53.764044943820224,60.6828515466808
bert-base-uncased,0.333,3.0,13,same_epochs,joint,squad_dev,76.42384105960265,84.98810698030246
bert-base-uncased,0.333,3.0,21,same_epochs,joint,addonesent,61.55567991046446,69.5594994922815
bert-base-uncased,0.333,3.0,21,same_epochs,joint,addsent,52.97752808988764,60.91091682248616
bert-base-uncased,0.333,3.0,21,same_epochs,joint,squad_dev,76.40491958372753,85.1627796439074
bert-base-uncased,0.333,3.0,42,same_epochs,joint,addonesent,61.66759932848349,69.11186258762993
bert-base-uncased,0.333,3.0,42,same_epochs,joint,addsent,52.78089887640449,59.99649473492351
bert-base-uncased,0.333,3.0,42,same_epochs,joint,squad_dev,76.5752128666036,85.26295544179344
bert-base-uncased,0.333,4.0,13,same_epochs,joint,addonesent,61.16396194739787,69.23115595359955
bert-base-uncased,0.333,4.0,13,same_epochs,joint,addsent,53.08988764044944,60.84285993402408
bert-base-uncased,0.333,4.0,13,same_epochs,joint,squad_dev,76.33869441816462,84.91104796310003
bert-base-uncased,0.333,4.0,21,same_epochs,joint,addonesent,62.674874090654725,69.89878519504715
bert-base-uncased,0.333,4.0,21,same_epochs,joint,addsent,54.438202247191015,61.409738322819585
bert-base-uncased,0.333,4.0,21,same_epochs,joint,squad_dev,76.71712393566698,85.37772808477504
bert-base-uncased,0.333,4.0,42,same_epochs,joint,addonesent,62.00335758254057,69.539528788168
bert-base-uncased,0.333,4.0,42,same_epochs,joint,addsent,53.28651685393258,60.830688933770524
bert-base-uncased,0.333,4.0,42,same_epochs,joint,squad_dev,75.96026490066225,84.84484347802628
bert-base-uncased,0.333,5.0,13,same_epochs,joint,addonesent,61.611639619473976,69.34138211056468
bert-base-uncased,0.333,5.0,13,same_epochs,joint,addsent,53.67977528089887,60.89250716473628
bert-base-uncased,0.333,5.0,13,same_epochs,joint,squad_dev,76.51844843897824,85.30035563290936
bert-base-uncased,0.333,5.0,21,same_epochs,joint,addonesent,60.660324566312255,68.85324762084434
bert-base-uncased,0.333,5.0,21,same_epochs,joint,addsent,51.825842696629216,59.71854237214049
bert-base-uncased,0.333,5.0,21,same_epochs,joint,squad_dev,76.04541154210028,84.94894870006608
