evalset,condition,f1_mean,f1_std,n
addonesent,full / same_epochs,68.32506077174169,0.7040545693355788,5
addonesent,ambiguous / same_epochs,62.63902602628055,0.8382580296932979,5
addonesent,random / same_epochs,61.93489789751587,0.9030015744476022,30
addonesent,easy / same_epochs,57.29009000228452,0.5503805252090582,5
addonesent,hard / same_epochs,57.1256442133276,0.9517073534418183,5
addsent,full / same_epochs,58.50427201902939,0.7251108008978918,5
addsent,ambiguous / same_epochs,51.38440331360996,0.8958886866269498,5
addsent,random / same_epochs,51.356997759084344,0.9548744517746502,30
addsent,hard / same_epochs,49.26717018070728,0.9394508378615891,5
addsent,easy / same_epochs,46.34098754085007,0.5090668875192393,5
squad_dev,full / same_epochs,85.28899960582353,0.1489613556185643,5
squad_dev,ambiguous / same_epochs,80.6605518985167,0.3949698004736018,5
squad_dev,random / same_epochs,80.5210251990157,0.40378219178344665,30
squad_dev,easy / same_epochs,75.95915846867663,0.4096374265358837,5
squad_dev,hard / same_epochs,72.64926673858758,1.0066510751721358,5
