model,subset_fraction,subset_draw_id,seed,train_budget_type,confidence_definition,evalset,exact_match,f1
google/electra-small-discriminator,0.333,0.0,13,same_epochs,joint,addonesent,53.55344152210409,62.501131886382524
google/electra-small-discriminator,0.333,0.0,13,same_epochs,joint,addsent,43.53932584269663,51.52812330832491
google/electra-small-discriminator,0.333,0.0,13,same_epochs,joint,squad_dev,70.93661305581836,80.41623671237143
google/electra-small-discriminator,0.333,0.0,21,same_epochs,joint,addonesent,53.88919977616116,61.91934353662262
google/electra-small-discriminator,0.333,0.0,21,same_epochs,joint,addsent,43.93258426966292,51.43889830867279
google/electra-small-discriminator,0.333,0.0,21,same_epochs,joint,squad_dev,71.47587511825922,80.78437552391092
google/electra-small-discriminator,0.333,0.0,42,same_epochs,joint,addonesent,54.67263570229435,62.68016525687394
google/electra-small-discriminator,0.333,0.0,42,same_epochs,joint,addsent,44.747191011235955,52.05786852944845
google/electra-small-discriminator,0.333,0.0,42,same_epochs,joint,squad_dev,71.6650898770104,81.05077054749249
google/electra-small-discriminator,0.333,1.0,13,same_epochs,joint,addonesent,55.120313374370454,62.70664453522566
google/electra-small-discriminator,0.333,1.0,13,same_epochs,joint,addsent,44.943820224719104,52.238339270324005
google/electra-small-discriminator,0.333,1.0,13,same_epochs,joint,squad_dev,71.5515610217597,80.85591979634629
google/electra-small-discriminator,0.333,1.0,21,same_epochs,joint,addonesent,54.8964745383324,63.43774590368589
google/electra-small-discriminator,0.333,1.0,21,same_epochs,joint,addsent,44.943820224719104,52.819324001222405
google/electra-small-discriminator,0.333,1.0,21,same_epochs,joint,squad_dev,71.69347209082308,81.00788952555723
google/electra-small-discriminator,0.333,1.0,42,same_epochs,joint,addonesent,54.39283715724678,61.86800652363222
google/electra-small-discriminator,0.333,1.0,42,same_epochs,joint,addsent,44.325842696629216,51.42779129385898
google/electra-small-discriminator,0.333,1.0,42,same_epochs,joint,squad_dev,71.14474929044465,80.50376001097084
google/electra-small-discriminator,0.333,2.0,13,same_epochs,joint,addonesent,54.50475657526581,62.83867484572576
google/electra-small-discriminator,0.333,2.0,13,same_epochs,joint,addsent,44.97191011235955,52.656351293881364
google/electra-small-discriminator,0.333,2.0,13,same_epochs,joint,squad_dev,71.40964995269631,80.82697054571186
google/electra-small-discriminator,0.333,2.0,21,same_epochs,joint,addonesent,53.88919977616116,62.18239600911643
google/electra-small-discriminator,0.333,2.0,21,same_epochs,joint,addsent,44.01685393258427,51.63946103998199
google/electra-small-discriminator,0.333,2.0,21,same_epochs,joint,squad_dev,71.15421002838221,80.41737446367274
google/electra-small-discriminator,0.333,2.0,42,same_epochs,joint,addonesent,52.21040850587577,61.023359926424206
google/electra-small-discriminator,0.333,2.0,42,same_epochs,joint,addsent,42.52808988764045,50.50554768681805
google/electra-small-discriminator,0.333,2.0,42,same_epochs,joint,squad_dev,70.06622516556291,79.86382905205318
google/electra-small-discriminator,0.333,3.0,13,same_epochs,joint,addonesent,54.00111919418019,62.24194541298755
google/electra-small-discriminator,0.333,3.0,13,same_epochs,joint,addsent,44.241573033707866,51.67487600571772
google/electra-small-discriminator,0.333,3.0,13,same_epochs,joint,squad_dev,71.49479659413434,80.84449364238222
google/electra-small-discriminator,0.333,3.0,21,same_epochs,joint,addonesent,53.72132064913262,61.91656248544859
google/electra-small-discriminator,0.333,3.0,21,same_epochs,joint,addsent,43.98876404494382,51.61112403395203
google/electra-small-discriminator,0.333,3.0,21,same_epochs,joint,squad_dev,70.97445600756859,80.62017939546925
google/electra-small-discriminator,0.333,3.0,42,same_epochs,joint,addonesent,51.70677112479015,60.44629214370922
google/electra-small-discriminator,0.333,3.0,42,same_epochs,joint,addsent,41.62921348314607,49.535698735943086
google/electra-small-discriminator,0.333,3.0,42,same_epochs,joint,squad_dev,70.60548722800378,79.95375707706523
google/electra-small-discriminator,0.333,4.0,13,same_epochs,joint,addonesent,53.94515948517068,62.28375969930745
